Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
  8,   8,   83.076,  148,  4.0E-02,   35.182,  783,  1.7E-02,  938.540,   25,    0.448, 1.16E+03,   21,    0.552,   39.780,  455,  1.9E-02,    0.000,  999,    0.000,  604.326,   42,    0.288, 2.03E+03,   15,    0.966,  621.896,    4,    0.297,    0.000,  999,    0.000,  704.254,   12,    0.336, 1.68E+03,   16,    0.800,  142.323,   93,  6.8E-02, 2.47E+03,    5,    1.177,  462.845,   27,    0.221,   10.828,  288,  5.2E-03,    0.000,  999,    0.000,    0.000,  999,    0.000,  621.896,    4,    0.297, 2.93E+03,    3,    1.398, 2.10E+03,    3,    1.000, 2.63E+03,   15,    1.255,  786.442,   63,    0.375,    0.000,  999,    0.000,   21.959,  811,  1.0E-02, 1.31E+03,   20,    0.625,  131.965,   87,  6.3E-02, 2.71E+03,   14,    1.294,  417.844,   33,    0.199, 2.07E+03,   18,    0.987,  769.665,   28,    0.367,  786.442,   63,    0.375, 3.27E+03,   11,    1.562, 1.33E+03,   15,    0.636, 2.84E+03,   13,    1.357
  7,   7,   42.718,  290,  1.9E-02,   59.550,  481,  2.6E-02, 1.29E+03,   19,    0.565,  993.590,   25,    0.435,    0.000,  999,    0.000,    0.000,  999,    0.000,  939.465,   27,    0.411, 2.20E+03,   13,    0.964,  665.655,    4,    0.291,    0.000,  999,    0.000,  741.608,   12,    0.324, 1.48E+03,   19,    0.649,  368.928,   36,    0.161, 2.46E+03,    5,    1.077,  221.662,   51,  9.7E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,  665.655,    4,    0.291, 2.68E+03,    4,    1.174, 2.29E+03,    3,    1.000, 3.14E+03,   12,    1.375,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.88E+03,   16,    0.821,    0.843,  999,  3.7E-04, 4.76E+03,   10,    2.085,  541.272,   32,    0.237, 1.48E+03,   26,    0.646, 1.17E+03,   28,    0.514,    0.000,  999,    0.000, 2.02E+03,   23,    0.883, 1.88E+03,   16,    0.821, 4.77E+03,   10,    2.085
  7,   8,  272.255,   41,    0.117,    0.000,  999,    0.000, 1.05E+03,   21,    0.449, 1.29E+03,   18,    0.551,    0.000,  999,    0.000,    0.000,  999,    0.000,  474.036,   48,    0.203, 2.03E+03,   13,    0.869,  692.211,    4,    0.297,    0.000,  999,    0.000,  654.752,   13,    0.281, 1.33E+03,   21,    0.571,  580.425,   21,    0.249, 2.47E+03,    4,    1.060,  476.493,   21,    0.204,    5.632,  556,  2.4E-03,    0.000,  999,    0.000,    0.000,  999,    0.000,  692.211,    4,    0.297, 2.95E+03,    3,    1.264, 2.33E+03,    3,    1.000, 2.50E+03,   14,    1.072,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.79E+03,   15,    0.768,    1.549,  999,  6.6E-04, 2.95E+03,   14,    1.263,  530.318,   20,    0.227, 1.99E+03,   15,    0.852, 1.13E+03,   15,    0.483,    0.000,  999,    0.000, 2.52E+03,   14,    1.079, 1.79E+03,   15,    0.768, 2.95E+03,   14,    1.263
  7,   9,    0.000,  999,    0.000,    0.000,  999,    0.000,  567.234,   35,    0.259, 1.62E+03,   13,    0.741,    0.000,  999,    0.000,  144.907,  130,  6.6E-02,  179.650,  113,  8.2E-02, 1.87E+03,   12,    0.854,  819.116,    3,    0.374,    0.000,  999,    0.000,  544.086,   14,    0.249, 1.65E+03,   16,    0.753,   17.856,  607,  8.2E-03, 2.55E+03,    4,    1.163,  670.501,   14,    0.306,  143.564,   22,  6.6E-02,    0.000,  999,    0.000,  107.312,  117,  4.9E-02,  819.116,    3,    0.374, 3.22E+03,    3,    1.470, 2.19E+03,    3,    1.000, 2.05E+03,   15,    0.936,  335.529,  191,    0.153,  123.293,  229,  5.6E-02,    0.000,  999,    0.000,  958.356,   25,    0.438,   71.361,  240,  3.3E-02, 2.38E+03,   19,    1.085,  383.487,   42,    0.175,  354.877,  100,    0.162,  817.741,   34,    0.374,  458.822,   97,    0.210, 1.20E+03,   44,    0.547,  958.356,   25,    0.438, 2.45E+03,   19,    1.118
  8,   7,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.02E+03,   22,    0.472, 1.15E+03,   21,    0.528,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.10E+03,   23,    0.505, 1.90E+03,   14,    0.874,  608.477,    4,    0.280,    0.000,  999,    0.000,  651.613,   13,    0.300, 1.14E+03,   24,    0.525,  136.170,   93,  6.3E-02, 2.52E+03,    5,    1.162,  204.962,   60,  9.4E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,  608.477,    4,    0.280, 2.73E+03,    4,    1.256, 2.17E+03,    3,    1.000, 2.99E+03,   13,    1.380,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.95E+03,   15,    0.899, 1.14E-02,  999,  5.2E-06, 3.95E+03,   12,    1.822,  518.477,   28,    0.239, 1.63E+03,   21,    0.749, 1.22E+03,   22,    0.564,    0.000,  999,    0.000, 2.14E+03,   19,    0.988, 1.95E+03,   15,    0.899, 3.95E+03,   12,    1.822
  8,   9,    0.000,  999,    0.000,    0.000,  999,    0.000,  701.982,   27,    0.349, 1.31E+03,   16,    0.651,    0.000,  999,    0.000,   18.333,  999,  9.1E-03,  279.228,   69,    0.139, 1.76E+03,   13,    0.872,  743.363,    4,    0.369,    0.000,  999,    0.000,  467.973,   16,    0.232, 1.24E+03,   20,    0.613,    8.514,  999,  4.2E-03, 2.35E+03,    5,    1.165,  810.174,   12,    0.402,   92.184,   33,  4.6E-02,   87.163,  266,  4.3E-02,   36.522,  339,  1.8E-02,  743.363,    4,    0.369, 3.16E+03,    3,    1.567, 2.01E+03,    4,    1.000, 2.04E+03,   14,    1.010, 2.20E+03,   38,    1.094,  115.196,  288,  5.7E-02,  284.223,  126,    0.141, 1.24E+03,   31,    0.616,  355.784,   72,    0.177, 2.73E+03,   19,    1.357,  401.109,   55,    0.199,  747.957,   60,    0.371,  901.038,   32,    0.447, 2.32E+03,   30,    1.151, 3.47E+03,   18,    1.721, 1.53E+03,   18,    0.758, 3.09E+03,   17,    1.533
  9,   7,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.11E+03,   22,    0.526,  999.527,   25,    0.474,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.09E+03,   24,    0.520, 1.96E+03,   15,    0.930,  529.434,    4,    0.251,    0.000,  999,    0.000,  747.411,   11,    0.355, 1.26E+03,   20,    0.597,   40.787,  315,  1.9E-02, 2.38E+03,    5,    1.128,  212.828,   61,    0.101,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,  529.434,    4,    0.251, 2.59E+03,    3,    1.229, 2.11E+03,    3,    1.000, 3.05E+03,   14,    1.449,    0.000,  999,    0.000,    0.440,  999,  2.1E-04,    0.000,  999,    0.000, 1.20E+03,   16,    0.571,    0.155,  999,  7.4E-05, 2.83E+03,   12,    1.345,  328.721,   32,    0.156,  453.133,   56,    0.215,  631.729,   29,    0.300,    0.440,  999,  2.1E-04,  782.294,   38,    0.371, 1.20E+03,   16,    0.571, 2.83E+03,   12,    1.346
  9,   8,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.24E+03,   18,    0.578,  905.086,   25,    0.422,    0.000,  999,    0.000,    0.000,  999,    0.000,  558.015,   41,    0.260, 1.63E+03,   16,    0.763,  508.829,    5,    0.237,    0.000,  999,    0.000,  673.112,   12,    0.314, 1.30E+03,   19,    0.607,    0.000,  999,    0.000, 2.16E+03,    5,    1.007,  494.927,   22,    0.231,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,  508.829,    5,    0.237, 2.65E+03,    4,    1.238, 2.14E+03,    3,    1.000, 2.19E+03,   16,    1.023, 2.25E+03,   32,    1.048,    0.000,  999,    0.000,  337.955,  101,    0.158, 1.75E+03,   22,    0.818,  237.057,  102,    0.111, 3.35E+03,   15,    1.561,  649.956,   41,    0.303, 1.50E+03,   32,    0.702, 1.66E+03,   20,    0.772, 2.25E+03,   32,    1.048, 4.40E+03,   12,    2.053, 2.09E+03,   12,    0.975, 3.58E+03,   13,    1.672
  9,   9,  167.235,   57,  8.0E-02,    0.000,  999,    0.000,  671.986,   29,    0.323, 1.41E+03,   14,    0.677,    0.000,  999,    0.000,    0.000,  999,    0.000,  253.676,   77,    0.122, 1.57E+03,   14,    0.753,  723.268,    3,    0.347,    0.000,  999,    0.000,  549.797,   13,    0.264, 1.22E+03,   20,    0.587,   23.352,  448,  1.1E-02, 2.35E+03,    5,    1.128,  721.937,   14,    0.346,   83.468,   34,  4.0E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  723.268,    3,    0.347, 3.07E+03,    3,    1.475, 2.08E+03,    3,    1.000, 1.82E+03,   16,    0.874,  170.967,  410,  8.2E-02,   93.484,  313,  4.5E-02,   32.283,  544,  1.5E-02, 1.57E+03,   16,    0.752,   40.461,  274,  1.9E-02, 3.18E+03,   14,    1.527,  579.423,   34,    0.278,    0.000,  999,    0.000, 1.28E+03,   22,    0.616,  264.451,  182,    0.127,  843.874,   53,    0.405, 1.60E+03,   16,    0.768, 3.22E+03,   14,    1.546
  6,   6,   39.167,  276,  1.7E-02,    0.000,  999,    0.000,  776.062,   29,    0.337, 1.52E+03,   15,    0.663,    0.000,  999,    0.000,    0.000,  999,    0.000,  665.931,   34,    0.290, 2.05E+03,   12,    0.893,  783.729,    3,    0.341,    0.000,  999,    0.000,  739.873,   11,    0.322,  984.634,   28,    0.428,    0.000,  999,    0.000, 2.52E+03,    4,    1.097,  411.656,   27,    0.179,    5.388,  564,  2.3E-03,    0.000,  999,    0.000,    0.000,  999,    0.000,  783.729,    3,    0.341, 2.94E+03,    3,    1.276, 2.30E+03,    3,    1.000, 2.72E+03,   13,    1.183,  334.913,  164,    0.146,  117.607,  155,  5.1E-02,    0.000,  999,    0.000,  917.544,   25,    0.399,  150.222,  109,  6.5E-02, 1.93E+03,   20,    0.840,  312.996,   36,    0.136,  805.562,   38,    0.350,  594.246,   37,    0.258,  452.520,   95,    0.197, 1.57E+03,   35,    0.683,  917.544,   25,    0.399, 2.08E+03,   19,    0.906
